Date,Adj Close,Close,High,Low,Open,Volume,MA7,MA30
2024-01-02,139.21810913085938,139.55999755859375,140.61500549316406,137.74000549316406,139.60000610351562,20071900,,
2024-01-03,140.01614379882812,140.36000061035156,141.08999633789062,138.42999267578125,138.60000610351562,18974300,,
2024-01-04,137.7018280029297,138.0399932861328,140.63499450683594,138.00999450683594,139.85000610351562,18253300,,
2024-01-05,137.0534210205078,137.38999938964844,138.80999755859375,136.85000610351562,138.3520050048828,15433200,,
2024-01-08,140.1857147216797,140.52999877929688,140.63999938964844,137.8800048828125,138.0,17645300,,
2024-01-09,142.21075439453125,142.55999755859375,142.8000030517578,139.7899932861328,140.05999755859375,19579700,,
2024-01-10,143.44772338867188,143.8000030517578,144.52499389648438,142.4600067138672,142.52000427246094,16641900,140.31999860491072,
2024-01-11,143.3180389404297,143.6699981689453,146.66000366210938,142.21499633789062,144.89500427246094,17471100,140.90714154924666,
2024-01-12,143.8866424560547,144.24000549316406,144.74000549316406,143.36000061035156,144.33999633789062,13995200,141.46142796107702,
2024-01-16,143.72703552246094,144.0800018310547,145.83999633789062,143.05599975585938,143.42999267578125,19198900,142.32428632463728,
2024-01-17,142.53994750976562,142.88999938964844,143.41000366210938,140.50999450683594,142.91000366210938,17884500,143.11000061035156,
2024-01-18,144.6348114013672,144.99000549316406,145.5850067138672,143.35000610351562,143.44000244140625,18876800,143.7471444266183,
2024-01-19,147.6074981689453,147.97000122070312,148.0399932861328,145.8000030517578,146.30499267578125,27170900,144.52000209263392,
2024-01-22,147.34814453125,147.7100067138672,150.01499938964844,147.5800018310547,148.7100067138672,21829200,145.07857404436385,
2024-01-23,148.3157501220703,148.67999267578125,148.86000061035156,147.19000244140625,147.72000122070312,14113600,145.7942875453404,
2024-01-24,149.98167419433594,150.35000610351562,151.57000732421875,149.83999633789062,150.2899932861328,19245000,146.66714477539062,
2024-01-25,153.26361083984375,153.63999938964844,154.75999450683594,151.22000122070312,151.74000549316406,21495100,148.0328587123326,
2024-01-26,153.41323852539062,153.7899932861328,154.11000061035156,152.8000030517578,152.8699951171875,19494500,149.59000069754464,
2024-01-29,154.46067810058594,154.83999633789062,155.1999969482422,152.9199981689453,153.63999938964844,20909300,150.9971422467913,
2024-01-30,152.67506408691406,153.0500030517578,155.0399932861328,152.77499389648438,154.00999450683594,26578900,151.72285679408483,
2024-01-31,141.45262145996094,141.8000030517578,145.58999633789062,141.5500030517578,145.38999938964844,43908600,150.87857055664062,
2024-02-01,142.3603973388672,142.7100067138672,144.6199951171875,142.25999450683594,143.69000244140625,25526900,150.02571541922433,
2024-02-02,143.18833923339844,143.5399932861328,143.8800048828125,138.1699981689453,140.88999938964844,42116900,149.0528564453125,
2024-02-05,144.57493591308594,144.92999267578125,146.6699981689453,143.91000366210938,144.0399932861328,29254400,147.8085697719029,
2024-02-06,145.05377197265625,145.41000366210938,146.74000549316406,144.52000427246094,145.9600067138672,21517700,146.6114283970424,
2024-02-07,146.32066345214844,146.67999267578125,147.0,145.2100067138672,146.1199951171875,21436100,145.44571358816964,
2024-02-08,146.85934448242188,147.22000122070312,147.61000061035156,146.4199981689453,146.97000122070312,18241300,144.61285618373327,
2024-02-09,149.85198974609375,150.22000122070312,150.69500732421875,147.42999267578125,147.9499969482422,21877700,145.81571306501115,
2024-02-12,148.36563110351562,148.72999572753906,150.58999633789062,148.55999755859375,149.5399932861328,17236100,146.67571149553572,
2024-02-13,146.01141357421875,146.3699951171875,148.0399932861328,145.11000061035156,146.07000732421875,18138500,147.07999747140067,145.65833282470703
2024-02-14,146.779541015625,147.13999938964844,147.8300018310547,145.55499267578125,147.3699951171875,16651800,147.39571271623885,145.91099955240887
2024-02-15,143.58738708496094,143.94000244140625,144.75999450683594,141.8800048828125,144.4600067138672,26724300,147.18571254185267,146.03033294677735
2024-02-16,141.41270446777344,141.75999450683594,144.47999572753906,141.52000427246094,144.2100067138672,21849700,146.48285566057478,146.15433298746746
2024-02-20,141.8516387939453,142.1999969482422,143.32899475097656,140.8000030517578,140.94000244140625,18625600,145.76571219308036,146.31466623942057
2024-02-21,143.48760986328125,143.83999633789062,143.97999572753906,141.91000366210938,142.63999938964844,16499600,144.85428292410714,146.4249994913737
